Year,Paper_Session,Paper_Varient,Q2_Topics,Q2
2023,ON,11,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages,"(a) Using the set passages you have studied, write about God’s relationship with the created world.  (b) What do these passages teach Muslims about responsibility towards their environment?"
2023,ON,12,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages,"(a) Using the set passages you have studied, outline the relationship between God and his Messengers: Adam and Abraham.  (b) How can Muslims use the Qur’an to develop a closer connection with God?"
2023,MJ,11,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632,(a) The Prophet (pbuh) received revelation from God when he was 40 years old. Write about this experience of the first revelation. (b) Explain the importance of the revelation being sent to a prophet who could not read or write
2023,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632,(a) Write about the different ways that revelations were received by the Prophet (pbuh). (b) Why do you think it was important for revelations to come over a period of time?
2022,ON,11,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages,(a) Write about how God describes Himself so humans can know Him using: (i) Sura 2.255 (Ayat al-Kursi) (ii) Sura 114 (Ikhlas). (b) How can Muslims use the verses from part a to connect to God in their everyday lives?
2022,ON,12,the account of the compilation of the Qur’an under the Rightly Guided Caliphs,(a) Write about the ways in which the Qur’an was compiled and preserved after the Prophet’s death. (b) Muslims today can access the Qur’an in a number of different ways. How useful is this? Give reasons to support your answer
2022,MJ,11,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632,(a) The Prophet (pbuh) received revelation from God when he was 40 years old. Write about this experience of the first revelation. (b) Explain the importance of the revelation being sent to a prophet who could not read or write.
2022,MJ,12,the revelation of the Qur’an to the Prophet (pbuh) between the years 610 and 632,(a) Write about the different ways that revelations were received by the Prophet (pbuh). [10] (b) Why do you think it was important for revelations to come over a period of time?
2021,ON,11,the major themes of the Qur’an as contained both in the passages set for special study and in other similar passages,"(a) Using passages from the syllabus, write about the duties of humankind towards God and the created world. (b) What do Muslims have to consider when looking after their environment?"
2021,ON,12,"the use of the Qur’an in legal thinking, and its relationship with the Hadiths, consensus (ijma‘) and analogy (qiyas)",(a) Write about the way in which the Qur’an and Sunna are used in Islamic Law.  (b) Give one example where using ijma or qiyas has been significant for Muslims today.
