Year,Paper_Session,Paper_Varient,Q3_Topic,Q3
2024,ON,11,the main events of his activities in Makka and his experiences with his opponents,(a) Describe the ways that the Prophet’s family in Makka both supported and opposed him.  (b) The Prophet (pbuh) remained steadfast in the face of all difficulties. What can Muslims learn from his example and put into practice?
2024,ON,12,the main events of his activities in Makka ,(a) Give an account of the Prophet’s migration (hijrah) from Makka to Madina.  (b) What are two important lessons for Muslims from the Prophet’s experiences on this journey from Makka to Madina? Give reasons for your answer.
2024,MJ,11,the main events of his activities in Makka and his experiences with his opponents,(a) Outline the growth of Islam in Makka from the first revelation until the migration to Madina.  (b) Early Muslims faced difficulties in establishing their faith. How can their actions guide Muslims today in practising their own faith?
2024,MJ,12,the main events of the Prophet’s life from his birth to his call to prophethood,"(a) Give an account of the main events of the Pledges of Aqaba and the details of the pledges made.  (b) In your opinion, what is the best way for Muslims to welcome those who move into their communities? Give reasons for your answer."
2023,ON,11,the main events of the Prophet’s life from his birth to his call to prophethood,"(a) The Prophet (pbuh) stopped at Hudaybiyya on his way to Makka. Give an account of the events that took place here.  (b) In your opinion, what is the most important lesson that Muslims might learn from the events at Hudaybiyya? Give reasons to support your answer."
2023,ON,12,the main events of his activities in Makka and his experiences with his opponents,(a) Describe the events relating to the Prophet’s efforts to spread Islam in Ta’if.  (b) What is the most important lesson Muslims might learn from the Prophet’s example at Ta’if? Give reasons to support your answer.
2023,MJ,11,the importance of his actions as examples for Muslim individuals in their personal conduct and relations with others including women and non-Muslims,(a) Using examples from the Prophet’s life show how he demonstrated the two qualities of: • trustworthiness • forgiveness.  (b) In what ways can people show their trustworthiness to each other? Give specific examples from everyday life
2023,MJ,12,the importance of his actions as examples for Muslim individuals in their personal conduct and relations with others including women and non-Muslims,(a) Write about when the Prophet (pbuh) showed patience and self-restraint while living in Makka.  (b) How can Muslims demonstrate patience and self-restraint in their own lives?
2022,ON,11,the main events of his activities in Makka and his experiences with his opponents,(a) Write about the persecution faced by the Prophet (pbuh) after he started preaching Islam openly. (b) Choose one example of the Prophet’s conduct when persecuted and explain how it can be followed by Muslims today.
2022,ON,12,the main events of his activities in Makka and his experiences with his opponents,"(a) Describe the ways in which the clans in Makka treated the Prophet (pbuh) before and after he received revelation.  (b) Why was it significant that the Quraysh continued to trust the Prophet (pbuh) with their belongings, after revelation?"
2022,MJ,11,the main events of the Prophet’s life from his birth to his call to prophethood,(a) Write an account of the Prophet Muhammad’s life from his birth until he received revelation.  (b) The Prophet (pbuh) was an orphan and raised by many people. How did this prepare him for prophethood?
2022,MJ,12,the importance of his actions as examples for Muslim individuals in their personal conduct and relations with others including women and non-Muslims,"(a) Give an account of the tribes living in Madina and the details of the Constitution of Madina that brought them all together.  (b) In your opinion, what important lesson(s) can be learned from the Constitution of Madina by Muslims today? Give reasons to support your answer."
2021,ON,11,the main events of his activities in Madina ,(a) Describe the main events of the Pledges of Aqaba and the details in the Pledges.  (b) What might Muslims do to set an example and welcome others who move to their areas?
2021,ON,12,the main events of his activities in Makka ,(a) Outline the main events from the Prophet’s night journey and ascension (al-isra wal-mi’raj).  (b) In what way did this event give hope to the Prophet (pbuh)?
